date,rail_mrt_kajang,rail_mrt_pjy,rail_lrt_kj,rail_lrt_ampang,rail_monorail,bus_rkl
2024-08-03,198005,98147.0,163524,146392,58147,163143.0
2024-08-04,165573,80472.0,139641,124605,51984,149416.0
2024-08-05,254366,155164.0,271244,197994,57533,229854.0
2024-08-06,266743,162644.0,288986,205357,58800,239396.0
2024-08-07,274703,164910.0,293819,207151,58871,239498.0
2024-08-08,269554,161728.0,291644,208296,59990,241951.0
2024-08-09,262760,157575.0,280580,209159,63489,236107.0
2024-08-10,207552,101871.0,172413,144796,56209,168908.0
2024-08-11,165858,79359.0,138005,120850,48111,153414.0
2024-08-12,259547,157874.0,278485,205055,58410,235072.0
2024-08-13,266935,162819.0,288121,207568,57624,242615.0
2024-08-14,271488,163707.0,289782,208371,57424,239418.0
2024-08-15,264039,160096.0,284800,205831,57708,238603.0
2024-08-16,263768,155767.0,275293,206027,60230,234356.0
2024-08-17,198435,97489.0,161007,143562,54721,159158.0
2024-08-18,174892,84453.0,140575,127114,48959,157638.0
2024-08-19,254603,154915.0,270365,201172,57015,230056.0
2024-08-20,262694,159585.0,285503,202945,56791,229596.0
2024-08-21,268041,160755.0,289959,205962,56710,235260.0
2024-08-22,260848,157774.0,283952,205098,56581,233600.0
2024-08-23,263538,157302.0,276761,209914,60312,228527.0
2024-08-24,207151,107217.0,170855,188168,51137,165259.0
2024-08-25,166976,85267.0,140539,123771,45165,151904.0
2024-08-26,250900,153411.0,267069,198966,54211,223955.0
2024-08-27,260452,160178.0,284023,203016,55178,233785.0
2024-08-28,265546,162007.0,284092,203051,55133,235573.0
2024-08-29,261798,159455.0,276108,201717,54351,232347.0
2024-08-30,274397,164465.0,275060,208483,60811,231238.0
2024-08-31,223776,148762.0,175854,151077,61590,234883.0
2024-09-01,167731,81744.0,131669,116430,39374,149101.0
2024-09-02,247214,150129.0,243045,186296,48918,219976.0
2024-09-03,262243,160244.0,264268,195168,49734,230968.0
2024-09-04,269063,162720.0,286793,209439,55323,236393.0
2024-09-05,263274,159983.0,281002,204667,55233,234037.0
2024-09-06,262075,155021.0,269408,205926,58146,233331.0
2024-09-07,204613,101319.0,164817,152736,54283,172536.0
2024-09-08,172735,85123.0,142798,138454,48146,165054.0
2024-09-09,256099,156714.0,271762,204112,55820,232809.0
2024-09-10,266335,162028.0,284576,206941,56036,233231.0
2024-09-11,272223,164509.0,286563,209305,55484,249767.0
2024-09-12,262880,158647.0,276742,205705,53859,247817.0
2024-09-13,258662,154901.0,268945,208120,56406,240106.0
2024-09-14,199935,101642.0,190399,148318,53480,184325.0
2024-09-15,204178,98607.0,164844,141572,60805,185137.0
2024-09-16,196803,96879.0,153319,132111,56322,167864.0
2024-09-17,185563,102339.0,157083,164068,43844,183643.0
2024-09-18,269554,157688.0,276713,202184,57129,251115.0
2024-09-19,268889,158796.0,281772,202851,57825,264236.0
2024-09-20,274945,163700.0,271812,203038,57619,254678.0
2024-09-21,190138,99062.0,153013,131042,45546,181651.0
2024-09-22,160056,82048.0,127708,122522,40791,175355.0
2024-09-23,246504,152824.0,264470,197533,52811,228955.0
2024-09-24,262278,161003.0,281314,203545,52510,234159.0
2024-09-25,264354,161288.0,285648,204256,52448,232894.0
2024-09-26,264865,160617.0,285567,204768,54153,234573.0
2024-09-27,265404,159167.0,273673,204716,57523,231830.0
2024-09-28,197090,100798.0,158885,137363,49231,161095.0
2024-09-29,167533,82959.0,136454,122237,46263,148637.0
2024-09-30,252337,154050.0,265341,199707,53943,226441.0
2024-10-01,269990,163760.0,289395,208157,55766,241077.0
2024-10-02,274854,165058.0,288946,210868,55536,240872.0
2024-10-03,272878,164869.0,298050,212972,57965,237414.0
2024-10-04,280817,164160.0,287214,214432,63921,240732.0
2024-10-05,218386,105431.0,180639,149540,54962,170089.0
2024-10-06,191472,91449.0,155697,140175,54620,169313.0
2024-10-07,261079,157584.0,272631,206418,58107,243324.0
2024-10-08,272310,165249.0,288687,211624,57264,247016.0
2024-10-09,274613,165053.0,289876,210946,55632,249753.0
2024-10-10,268785,163120.0,289309,209120,56378,246207.0
2024-10-11,275598,163687.0,285020,212082,60192,243838.0
2024-10-12,209715,104206.0,171213,143683,51401,167505.0
2024-10-13,180937,89448.0,150112,130716,50432,163342.0
2024-10-14,258361,158958.0,274238,204927,56347,240873.0
2024-10-15,267712,165769.0,288521,210346,55824,242404.0
2024-10-16,277067,168688.0,298753,213317,57187,255103.0
2024-10-17,269931,164954.0,293310,209294,57334,252617.0
2024-10-18,273844,163925.0,284900,210764,59984,246222.0
2024-10-19,202476,101810.0,163206,136167,48903,169441.0
2024-10-20,174688,87326.0,144502,126704,46719,161095.0
2024-10-21,255332,158964.0,271104,204313,56305,244962.0
2024-10-22,266313,165355.0,288022,209169,56816,246811.0
2024-10-23,271867,165410.0,291410,209391,56379,249112.0
2024-10-24,267867,163539.0,285948,211567,57070,245489.0
2024-10-25,273577,162539.0,278886,216805,60275,241332.0
2024-10-26,212960,110785.0,174377,202770,53691,172381.0
2024-10-27,177035,87834.0,145518,134913,46984,156554.0
2024-10-28,253303,155535.0,265115,202283,55910,230348.0
2024-10-29,267775,160503.0,282005,209759,57846,233138.0
2024-10-30,281911,159959.0,279543,208718,60904,224475.0
2024-10-31,216786,103796.0,168734,136394,58974,152637.0
2024-11-01,247850,133489.0,230842,173509,60450,191658.0
2024-11-02,197666,95607.0,155180,135572,52147,166366.0
2024-11-03,166661,83358.0,136212,122312,45468,184319.0
2024-11-04,254330,156129.0,264791,201885,57726,239914.0
2024-11-05,267819,163591.0,283946,208504,56393,247703.0
2024-11-06,276394,165964.0,289907,211114,58384,246550.0
2024-11-07,273833,164542.0,287998,210981,59136,249123.0
2024-11-08,278511,165471.0,283954,217237,62249,247725.0
2024-11-09,218054,111008.0,172061,148826,56049,174779.0
2024-11-10,181151,90764.0,145455,132608,49581,168443.0
2024-11-11,269117,162692.0,279646,210460,59504,251884.0
2024-11-12,272899,167435.0,290445,211918,58746,246949.0
2024-11-13,276565,167640.0,293691,212083,57753,255869.0
2024-11-14,272181,166583.0,288957,211084,58757,251467.0
2024-11-15,276737,165667.0,282571,215283,60945,246897.0
2024-11-16,202542,102097.0,164315,141851,50028,169067.0
2024-11-17,176072,87375.0,146476,128644,47832,160667.0
2024-11-18,265571,165265.0,279269,209250,57658,249333.0
2024-11-19,277806,171409.0,298090,214740,59075,252522.0
2024-11-20,284812,173734.0,300438,215276,58457,256839.0
2024-11-21,279488,171580.0,298928,226664,60464,251947.0
2024-11-22,283888,170971.0,296832,219280,64312,249460.0
2024-11-23,213334,111500.0,181410,179338,55863,172167.0
2024-11-24,177940,89305.0,154147,133715,48432,158394.0
2024-11-25,264468,163458.0,278506,207317,59507,244923.0
2024-11-26,273502,169739.0,292895,211488,59580,247442.0
2024-11-27,278421,169976.0,295633,211400,58705,245074.0
2024-11-28,278307,169212.0,295202,212373,61035,241619.0
2024-11-29,287120,170716.0,289005,219553,64625,237034.0
